sonic,rmse_0-6h_dir,bias_0-6h_dir,rmse_6-12h_dir,bias_6-12h_dir,rmse_12-18h_dir,bias_12-18h_dir,rmse_18-24h_dir,bias_18-24h_dir
tse06.30m,66.55828801199729,3.437566067046587,71.1664075344933,-3.7823064451048096,51.15633788219323,-3.375466483010187,69.632693553045,-28.22571698042446
tse06.40m,55.32379458368501,-5.657781610728632,66.48727302976316,-1.0058359066539324,43.74154706938458,-0.8929782732870863,63.97657632645293,-26.162785244192804
tse06.60m,43.20702357038493,-2.426433572830092,64.40941681611659,20.44602243135876,40.74733029538906,-1.9079971128463744,63.132014130989965,-34.75720862969875
tse07.10m,100.62942469069635,59.5009731318156,98.6883632767283,-16.943420046657984,46.95539107605515,9.834058440550168,76.3683921913261,-0.4067534270033266
tse07.20m,84.64985779216093,0.8624798115306428,108.30604997003697,-14.017735525714016,46.597551882068295,1.1571720246339854,76.95118725206888,-18.98300451326688
tse08.10m,99.68785275112752,47.16665223761664,85.4299039731549,-17.541319603814017,74.84050910916305,-1.955308438118828,80.91966837573932,-7.113399664919111
tse08.20m,98.5076022581314,33.96088133748108,96.26024303753532,-4.935601915674739,64.36799778150542,-0.4652667994350865,74.46861635003526,-21.677906251974367
tse09.10m,110.66038275810746,42.46451267683241,94.27796104154842,67.6795495235867,113.85122766875983,-5.61096026297675,99.13885435853372,22.18988886627621
tse09.20m,120.75733066242364,56.04721066301134,73.40064356561761,44.33372209218343,108.76145341039286,-36.47057134095086,102.23801977567994,1.068398488108322
tse09.30m,121.33501248832104,71.94970677439372,66.40084532536379,23.092067707824707,106.6485918642057,-16.827100792126124,98.9641781921376,-11.579427485378584
tse09.40m,131.74298079372755,78.172755923801,80.77521131864962,24.0579954562717,97.37133509289995,-2.2637881265089232,98.94087312631618,-37.23063024112066
tse09.60m,121.0255929704233,83.73651163542006,84.60872091956968,6.119368964547583,72.31774753697485,-17.297241258852218,95.707590191436,-19.2418164177831
tse09.80m,94.08270978822664,-1.7316515726831243,77.4477291195222,24.474533806700183,68.1309713827616,-25.21922716601054,98.36541385880696,-15.87772498920917
tse09.100m,68.16974697861534,5.123578773445559,58.91075819332833,31.45550319154527,57.88842631449526,-15.410821212793987,94.38939901793417,-38.46165761029164
tse10.10m,92.49604188603077,-14.047579270185356,86.60909908643166,-8.95537355950673,86.99976547928453,23.20685034561157,65.70879267222244,18.02713701905145
tse10.30m,118.10851486036492,-36.54167262833913,101.74214508450792,28.534214293045466,113.36624942805464,4.071861235932243,98.01477137052176,-0.2977352567036951
tse11.10m,100.28593140237902,-49.88308751824696,87.1840077487659,8.75911236982147,90.4265820900764,43.49821936543782,85.51028546369501,8.830394052547877
tse11.20m,103.95238485971126,-1.566064446867838,105.855827671893,13.316849594754643,107.60390029212472,53.10662549790276,87.77765159655145,2.8921293272442283
tse11.30m,103.95392765642887,-8.00259003718058,107.42564787900405,40.81344483680725,112.55125913124286,48.88124477266099,90.41129368131664,5.3379131381193785
tse11.40m,95.51813281083834,5.312608532783721,84.69169934266056,46.34977481522029,106.67163903227112,23.69046151824104,93.02120637437282,-21.45292825743887
tse11.60m,63.78275759345446,0.4061819659683467,60.01317783824909,28.356787084643045,84.53984416030379,14.26036874902513,96.11495533071412,-29.333133950855995
