sonic,rmse_0-6h_vh,bias_0-6h_vh,rmse_6-12h_vh,bias_6-12h_vh,rmse_12-18h_vh,bias_12-18h_vh,rmse_18-24h_vh,bias_18-24h_vh
tse04.40m,2.2447611216598533,1.8379928618833752,1.4152880412176492,-0.8056675565404363,0.5588835901914956,0.106519324622684,1.2044122229840155,0.755404799644947
tse04.60m,2.266422889237207,1.799927315025541,1.4566382999099154,-0.9870331019088427,0.5664087628923993,-0.0714400702794392,1.2718865612963928,0.8536627048460641
tse04.80m,2.2693370424665407,1.7773840084582966,1.375842086481791,-0.9851061239111158,0.7246720902373642,-0.1701468147235446,1.3173679127105082,0.92568550333235
tse04.100m,2.226254553117316,1.7086844487749735,1.27653438353739,-0.9261495046927134,0.8184281453012995,-0.1377707757345835,1.3614282426384243,0.9916178998502094
tse05.2m,,,,,,,,
tse06.10m,2.1494411149372947,1.7053419219515586,0.6875858571465305,0.2491328070077697,1.8665717133181643,1.4520280828113026,1.4990157954082024,1.261496416750749
tse06.20m,2.062244498534592,1.607763489817725,0.7635498870560876,0.2652470555004079,1.9063934312394213,1.340325992137856,1.5165832187136432,1.2230105039662784
tse06.30m,2.1165071069193075,1.631215167637143,0.8287184309743459,0.304773258875913,1.8982143294446847,1.252103648071289,1.508891267306802,1.202126096386777
tse06.40m,2.161129359342856,1.6705073771083023,0.8965115774097966,0.3127902768717209,1.9216219199445463,1.2429214731037617,1.4882258066619194,1.1705902559913528
tse06.60m,2.5485864326030048,2.003145152110285,1.007129724685575,0.1454455532662139,1.9203727377770985,1.1970659726440906,1.4280042691678676,1.1090488787055015
tse07.10m,2.3285762465212234,1.8795404107387583,0.7195899341449659,0.4530004803352091,1.9674546290559043,1.8114103639319872,1.4828611478316422,1.3333028641915583
tse07.20m,2.77003537288977,2.2128724983533354,0.7586697437023289,0.3671208414857983,2.0628813906015715,1.6796967033848496,1.5067872380584335,1.287480809952153
tse08.10m,1.9737037016636567,1.236334637983256,0.8777335706940331,0.094737078527424,1.979382948091951,1.5677493160398135,1.4393135125667345,1.24719834387464
tse08.20m,2.5398776814866584,1.836630694520288,0.7651407194391445,0.2358654068106611,1.870607156383988,0.990355233234167,1.3157516701438976,1.0306599205959373
tse09.10m,1.4036093801659597,0.694694939105312,0.6229694463768398,-0.0929913206170929,1.4080058507380164,1.1798471583723755,1.5473090355531458,1.4390197994992202
tse09.20m,1.741632296380285,0.7984135792948139,0.6321530547869555,-0.4132249018700387,0.9744214777191096,0.5393076993718148,1.3661581814044954,1.1739702614496812
tse09.30m,2.01629721617427,1.1137716971818603,0.5397690639235028,-0.3432993535161548,0.9496501508490724,0.3089996388040118,1.2951942312792468,1.0863501953152814
tse09.40m,2.2012589578215764,1.1977615324359734,0.6515246855913426,-0.3352010823382801,0.9754059323431123,0.1475273434475792,1.2440523866539963,1.0337303003639644
tse09.60m,2.5336546127038253,1.7196517125442292,0.6466749339752488,-0.0622313400936126,1.0998492656036,-0.0697301516637272,1.1897113029485873,0.9656822228150896
tse09.80m,2.902457012807523,2.220909905625012,0.6719582992305015,0.2323561119909749,1.2184464437756433,-0.1241563596767319,1.179693755461575,0.9395669804029996
tse09.100m,2.933944232884824,2.2761821510453486,0.7941408864717161,0.1819253064531353,1.3436808904293176,-0.1613473712748422,1.175203233377871,0.8780804677934115
tse10.10m,1.8070448839546824,1.5583508547982772,0.7399156481435332,0.5807392245858577,1.560034503142858,1.3987011924273969,1.9581037722832464,1.8700348729754817
tse10.30m,2.2473729705280485,1.9334138956505589,0.9961277750063352,0.2812940496087736,0.8076867730746653,0.1319052514443927,1.541873232600388,1.2948717368683549
tse11.10m,2.313005913498189,2.1651409646339284,1.2434753359974922,0.8118815386540756,1.07560801747103,0.9085295673221482,1.9753913642424576,1.8274353790707056
tse11.20m,2.4157377561154667,2.196436191986668,1.188055146124931,0.5322369588041969,0.7808291078500045,0.4695035385755963,1.8052818143573848,1.59040546245363
tse11.30m,2.5121680904949524,2.205849772344828,1.2231155941434555,0.1589534356987741,0.7100630549294519,0.0472187469859123,1.6792091080938514,1.4106953413604366
